Protein,Final_Quant
YCL040W,105908.2257
YER103W,5698.424602
YER089C,10708.47872
YMR128W,2118.808418
YJR062C,1850.220926
YCR046C,737.626531
YJL172W,10499.88863
YEL066W,4670.276738
YDR447C_YML024W,237578.7431
YOR260W,8766.158748
YDL143W,20420.01727
YLR347C,17631.53036
YGL232W,3308.559818
YGL011C,27356.23039
YDR381W,151771.8543
YHL021C,6592.752883
YGR061C,62682.3719
YNL281W,41031.25131
YAL012W,117031.9651
YFR030W,5327.083169
YHR183W,536065.4608
YPR008W,1377.138485
YNL200C,2852.746267
YGR240C,238204.6455
YDL167C,2563.638207
YPL106C,61435.41286
YER151C,2307.822228
YBL076C,24707.43271
YKL157W,7325.130901
YML063W_YLR441C,123463.3619
YGL253W,801413.638
YGR094W,35373.36477
YBR244W,2963.517277
YDR147W,1673.773002
YMR303C,2376.285967
YLR249W,126692.9408
YPL081W_YBR189W,351850.1532
YPL169C,13432.11839
YGL148W,67350.82075
