gene	log2_TE
YBR120C	0.5851
YBR121C	0.8808
YBR122C	0.3211
YBR123C	0.1410
YBR125C	-0.5074
YBR126C	1.0925
YBR126W-A	2.1490
YBR127C	1.1897
YBR128C	-0.1932
YBR129C	-0.6583
YBR130C	-0.2568
YBR131W	-0.2819
YBR132C	-0.4962
YBR133C	-1.0731
YBR135W	0.8422
YBR136W	-1.3491
YBR137W	0.9143
YBR138C	-0.0865
YBR139W	0.2306
YBR140C	-1.6002
YBR141C	0.0872
YBR142W	-0.2099
YBR143C	0.8949
YBR145W	-0.0742
YBR146W	0.0809
YBR147W	0.4248
YBR148W	0.3366
YBR149W	0.6696
YBR150C	-0.8324
YBR151W	-0.0213
YBR152W	-0.1457
YBR153W	-0.6850
YBR154C	1.3176
YBR155W	0.5165
YBR156C	-0.5623
YBR157C	-0.4960
YBR158W	-1.0991
YBR159W	0.5806
YBR160W	0.5714
YBR161W	-0.2261
YBR162C	1.0387
YBR162W-A	1.3167
YBR163W	-1.5202
YBR164C	1.1297
YBR165W	0.2311
YBR166C	0.5009
YBR167C	0.3387
YBR168W	-1.0713
YBR169C	-0.0429
YBR170C	0.1063
YBR171W	0.5244
YBR172C	-0.0131
YBR173C	1.6950
YBR175W	0.1658
YBR176W	0.1973
YBR177C	0.6383
YBR179C	-0.4040
YBR182C	0.2301
YBR183W	-0.7546
YBR184W	0.1992
YBR185C	0.3664
YBR187W	0.1413
YBR188C	0.9692
YBR189W	1.9490
YBR191W	1.7250
YBR192W	-0.1687
YBR193C	0.0350
YBR194W	0.1580
YBR195C	-0.0241
YBR196C	1.6002
YBR197C	-0.4295
YBR198C	-0.1250
YBR199W	-0.0458
YBR200W	-0.1905
YBR201C-A	0.5830
YBR201W	-0.4039
YBR202W	-0.2170
YBR204C	-0.3192
YBR205W	0.4795
YBR207W	-0.0899
YBR208C	-0.8818
YBR210W	-0.0400
YBR211C	-0.0750
YBR212W	0.0596
YBR213W	0.2156
YBR214W	0.3783
YBR215W	0.0765
YBR216C	-0.3154
YBR217W	-0.6700
YBR218C	-0.3662
YBR220C	-0.4793
YBR221C	0.9969
YBR222C	0.3983
YBR223C	0.0926
YBR225W	-0.4958
YBR227C	0.0850
YBR228W	-0.5915
YBR229C	-0.4229
YBR230C	0.8082
YBR230W-A	1.1165
YBR231C	0.2900
YBR233W	1.4048
YBR233W-A	0.5282
YBR234C	0.5970
YBR235W	-1.0751
YBR236C	-0.0874
YBR237W	-0.9054
YBR238C	-0.5740
YBR239C	-0.6620
YBR241C	-0.2345
YBR242W	0.0640
YBR243C	-0.2824
YBR244W	1.1529
YBR245C	0.0326
YBR246W	-0.5960
YBR247C	0.6300
YBR248C	0.6042
YBR249C	1.3482
YBR251W	0.4709
YBR252W	1.0034
YBR253W	-0.4004
YBR254C	0.0607
YBR255C-A	0.0089
YBR255W	-0.7748
YBR256C	-0.2629
YBR257W	0.2863
YBR258C	0.6421
YBR259W	-1.1809
YBR260C	-0.4958
YBR261C	0.5013
YBR262C	0.1305
YBR263W	0.5950
YBR264C	0.1509
YBR265W	0.1146
YBR267W	1.4372
YBR268W	0.9410
YBR269C	1.0168
YBR271W	-0.4535
YBR272C	-0.2045
YBR273C	0.3981
YBR274W	-0.8575
YBR275C	-0.9164
YBR276C	-2.0625
YBR278W	1.2130
YBR279W	0.2548
YBR280C	-0.2787
YBR281C	-0.2603
YBR282W	0.6717
YBR283C	0.5331
YBR286W	0.9293
YBR287W	-0.4283
YBR288C	-0.2765
YBR289W	-0.3095
YBR290W	0.4554
YBR291C	-0.4366
YBR293W	-1.1980
YBR295W	-1.2178
YBR296C	0.1012
YBR297W	-0.4043
YCL001W	0.7723
YCL002C	-1.6149
YCL004W	-0.9224
YCL005W	-0.8059
YCL005W-A	2.4263
YCL008C	-0.4391
YCL009C	0.6547
YCL010C	-0.9807
YCL011C	-0.0544
YCL012C	0.1109
YCL014W	-0.8513
YCL016C	-0.2240
YCL017C	0.3845
YCL024W	-0.4704
YCL025C	-0.0530
YCL026C-A	0.2204
YCL026C-B	1.1602
YCL027W	-0.1061
YCL028W	1.4814
YCL029C	-0.1603
YCL030C	0.6345
YCL031C	0.2533
YCL032W	-0.3015
YCL033C	0.5845
YCL034W	0.1495
YCL035C	1.6991
YCL036W	-0.8921
YCL037C	1.4462
YCL038C	-0.5634
YCL039W	-0.3433
YCL040W	0.7029
YCL042W	4.4301
YCL043C	1.2290
YCL044C	0.3643
YCL045C	0.7215
YCL047C	0.1007
YCL049C	-0.4393
YCL050C	1.5091
YCL051W	-0.7228
YCL052C	-0.2986
YCL054W	0.3295
YCL055W	0.1752
YCL056C	-1.6813
YCL057C-A	1.5250
YCL057W	-0.0876
YCL059C	0.6977
YCL061C	-0.6028
YCL063W	-0.8614
YCL064C	1.2578
YCR002C	0.5817
YCR003W	0.7961
YCR004C	1.1861
YCR005C	0.1638
YCR007C	-0.1415
YCR008W	-1.3836
YCR009C	0.7561
YCR011C	-0.2629
YCR012W	3.2788
YCR015C	-0.2897
YCR016W	0.6330
YCR017C	-0.7142
YCR018C	0.2218
YCR019W	-0.5762
YCR020C-A	0.2396
YCR020W-B	0.7813
YCR021C	-0.4853
YCR023C	-1.2699
YCR024C	-0.3724
YCR024C-A	1.9913
YCR026C	-0.4366
YCR027C	-0.1765
YCR028C	-0.4376
YCR028C-A	1.8281
YCR030C	-0.0556
YCR031C	1.8063
YCR032W	-1.2870
YCR033W	-1.1640
YCR034W	0.4890
YCR035C	0.2772
YCR036W	0.0753
YCR037C	-1.2788
YCR038C	-0.4967
YCR042C	-0.5221
YCR043C	0.4392
YCR044C	-0.5236
YCR046C	0.1780
YCR047C	1.7669
YCR048W	0.3848
YCR051W	0.7681
YCR052W	0.0053
YCR053W	1.1959
YCR054C	-0.0496
YCR057C	-0.2677
YCR059C	-0.6458
YCR060W	0.0975
YCR061W	0.4844
YCR063W	1.4862
YCR065W	-0.4509
YCR066W	-0.1935
YCR067C	-0.2360
YCR068W	-0.7597
YCR069W	-0.0076
YCR071C	0.3563
YCR072C	0.4851
YCR073C	-0.9937
YCR073W-A	0.4372
YCR075C	-0.6855
YCR075W-A	0.6871
YCR076C	0.0749
YCR077C	-0.0067
YCR079W	-1.0673
YCR081W	-0.7134
YCR082W	0.0458
YCR083W	0.2677
YCR084C	-0.0054
YCR086W	0.5217
YCR088W	1.3817
YCR090C	0.3170
YCR091W	-0.3535
YCR092C	-0.5631
YCR093W	-0.7228
YCR094W	-0.1924
YCR095C	-0.5118
YCR097W	0.4449
YCR101C	-0.1131
YCR105W	0.2749
YCR106W	-1.0097
YDL001W	0.0709
YDL002C	0.4766
YDL003W	0.2267
YDL004W	1.0970
