gene,mRNA_Half_Life
YPR114W,22.04745039
YOL076W,22.06156840
YOR098C,22.06185139
YIR033W,22.06531737
YOR320C,22.07569748
YOL095C,22.08772476
YHR191C,22.11414235
YNL323W,22.12508159
YMR301C,22.13787747
YPL055C,22.15114676
YNL066W,22.15279408
YDL102W,22.15797072
YER016W,22.16675490
YGR285C,22.17106340
YIL014C-A,22.19257782
YKR059W,22.20687894
YOR056C,22.21238401
YNL016W,22.21466462
YGL070C,22.23766980
YOL149W,22.24923274
YAL035W,22.25819030
YOR264W,22.26256933
YPR022C,22.26629245
YDR086C,22.29899667
YLL021W,22.31141675
YDR416W,22.32867839
YGL172W,22.33845755
YGL131C,22.36329238
YOR391C,22.36428265
YDR144C,22.37587851
YGL083W,22.38496500
YLR268W,22.38988761
YDR266C,22.42175119
YER007W,22.42764781
YCR046C,22.43818785
YDL093W,22.44880131
YLR040C,22.45226439
YPL046C,22.45404322
YHR045W,22.47427726
YOR022C,22.50220059
YKR050W,22.50684297
YGR230W,22.55114979
YHR193C,22.56331423
YOR064C,22.56735967
YGR091W,22.57352540
YIL120W,22.58887786
YCR012W,22.59013431
YML048W,22.59639335
YJR022W,22.61459107
YJL112W,22.63447438
YDR210W,22.63935957
YKL222C,22.64149440
YDR515W,22.66457523
YDL001W,22.67489692
YOR067C,22.70421304
YNR061C,22.71501191
YNL240C,22.75049527
YDR356W,22.77683242
YNL327W,22.79411723
YCL043C,22.80358442
YEL068C,22.83751082
YOR046C,22.84043376
YLR348C,22.84540292
YNL290W,22.84669798
YOR167C,22.85810226
YJL073W,22.86514310
YJL162C,22.88241830
YDL205C,22.89582147
YKL152C,22.89586864
YDL160C,22.89693447
YDL090C,22.91076843
YJL218W,22.91612829
YLR021W,22.92868316
YLR412W,22.92874791
YMR038C,22.94773782
YOL061W,22.98262568
YOR081C,22.98683833
YLR207W,23.02494475
YMR150C,23.02521979
YDL168W,23.03364293
YOR226C,23.05149843
YAL063C-A,23.05529515
YDR011W,23.09251504
YHR176W,23.09752768
YKR045C,23.14536258
YMR198W,23.17367903
YPL037C,23.18234980
YGL049C,23.18355957
YDR158W,23.21321728
YPR128C,23.26588987
YBR079C,23.27631634
YNL029C,23.27758651
YLR153C,23.28728769
YDR519W,23.28882054
YPL189W,23.29297489
YLR139C,23.29699996
YOL125W,23.30861659
YGL258W,23.31097077
YHR015W,23.32964485
YER032W,23.35716762
YAR033W,23.35805459
YEL040W,23.37028002
YBR193C,23.37339734
YNL255C,23.38907283
YKL161C,23.45035893
YJL034W,23.45722182
YPR011C,23.47976887
YOR207C,23.50404393
YDR348C,23.51137335
YMR323W,23.52058340
YPL175W,23.54315522
YDR517W,23.56932837
YGR263C,23.57834843
YOL015W,23.61174298
YDL122W,23.65273449
YGR036C,23.69161806
YEL057C,23.70962382
YMR296C,23.79004580
YML078W,23.79232707
YLR417W,23.80744762
YPL281C,23.81472116
YOL109W,23.81541234
YGR140W,23.83107319
YOR265W,23.86337441
YPL255W,23.87258103
YOR313C,23.89120668
YNL202W,23.95074320
YAL012W,23.99733300
YNL147W,24.01149818
YBR107C,24.02649402
YNR019W,24.04123920
YKR083C,24.04213974
YKL186C,24.04317659
YMR048W,24.06560140
YLR218C,24.07886768
YPL127C,24.08826113
YKL069W,24.09101530
YPL208W,24.12045319
YOL012C,24.14848122
YBL020W,24.16154587
YPR058W,24.19164549
YER030W,24.20674571
YDR282C,24.20728865
YBR192W,24.20939490
YMR025W,24.26639114
YOR378W,24.27551053
YOR165W,24.28787125
YLR151C,24.29304589
YOR242C,24.31651038
YJR043C,24.33070612
YBR049C,24.37294644
YIR031C,24.42968466
YMR253C,24.43841310
YLR438W,24.43902635
YJL063C,24.44295095
YDR337W,24.45866791
YLR382C,24.46007006
YOR291W,24.49443641
YJL078C,24.50300078
YNR060W,24.51811865
YDL065C,24.52276108
YJR048W,24.53951486
YNL270C,24.55321720
YMR052W,24.59208606
YPR086W,24.60195243
YNL252C,24.60443530
YDL058W,24.60458199
YHR044C,24.61971810
YLR088W,24.63794428
YDL197C,24.64008068
YPL256C,24.65561119
YLR135W,24.65806757
YBR185C,24.66978610
YNL056W,24.69857514
YLR273C,24.72170638
YBR160W,24.73485364
YEL020W-A,24.75270621
YNL037C,24.77867703
YGR012W,24.79690619
YNL273W,24.80053705
YPR017C,24.80721258
YDR004W,24.81718028
YPR169W,24.82937681
YBL026W,24.87603630
YCL063W,24.87654519
YDL141W,24.88258496
YCR075C,24.89148045
YKL033W,24.89474744
YLR264W,24.89565634
YBR230W-A,24.90592626
YFR025C,24.92187860
YDL100C,24.92873350
YGL143C,24.95779343
YCR077C,24.95842269
YNL012W,24.97395079
YOR258W,24.97541968
YIL040W,25.00488551
YBR251W,25.01293173
YAL001C,25.02267254
YCL001W,25.03483836
YGR249W,25.04585513
YDR073W,25.04897218
YLR456W,25.05052718
YNL169C,25.05774891
YLR049C,25.06813661
YHR154W,25.06977378
YDR100W,25.08367501
YCL005W-A,25.10762369
YGR108W,25.15313112
YDR170C,25.15573087
YHR013C,25.15685578
YNL166C,25.17049648
YDR389W,25.18253178
YJL046W,25.18887534
YIL021W,25.19681458
YBR265W,25.20237834
YDL179W,25.20303435
YDR381W,25.24077435
YJR098C,25.25981023
YLR380W,25.28702653
YKL006C-A,25.29917861
YNL098C,25.30303139
YNL051W,25.32333737
YJL178C,25.35880468
YGR262C,25.36373702
YER048C,25.36826654
YKL164C,25.37221120
YMR044W,25.38221775
YML034W,25.40228196
YDR499W,25.40517363
YML021C,25.42159511
YOR393W,25.43445064
YKL122C,25.44092935
YGR276C,25.46021009
YPR073C,25.46115285
YGL108C,25.49217092
YAL024C,25.49658714
YBR052C,25.51963958
YKL165C,25.53432556
YGL077C,25.53679286
YBR118W,25.57063247
YJR011C,25.59521940
YMR018W,25.59600377
YIL063C,25.59739030
YBR106W,25.60299620
YLL016W,25.60443209
YGL065C,25.60542603
YOR321W,25.64998748
YPL072W,25.65148153
YML105C,25.66575069
YDR253C,25.66775186
YPL252C,25.66997493
YLR055C,25.67019877
YOR266W,25.67109119
YBR112C,25.67267724
YOR373W,25.68420985
YHR172W,25.68616233
YML006C,25.68639295
YOR323C,25.70910069
YAL010C,25.71081691
YDL164C,25.73862831
YNL080C,25.74278404
YDL217C,25.75300738
YGL094C,25.75424315
YJR099W,25.77840039
YCL037C,25.78011795
YBL113C,25.79001612
YDR116C,25.79107021
YNL260C,25.80320683
YPL092W,25.81547200
YBR087W,25.81707228
YBR042C,25.81813541
YGL097W,25.83028791
YPR182W,25.85191959
YBR215W,25.86103473
YMR126C,25.86106088
YLR262C-A,25.86662774
YMR190C,25.87109739
YMR001C,25.88333452
YNL332W,25.89339344
YEL061C,25.89856491
YOR213C,25.90467174
YEL015W,25.90794992
YJR069C,25.93128671
YOR176W,25.93387612
YPR018W,26.00134716
YJL054W,26.00964868
YKR036C,26.01665948
YBR043C,26.02656575
YLR020C,26.02997469
YJL106W,26.04753495
YPR097W,26.07087915
YJL179W,26.07544456
YER003C,26.08488402
YJL097W,26.09580340
YDR146C,26.10139452
YNL010W,26.12042861
YOL003C,26.13382271
YLL031C,26.13649809
YDR307W,26.14667834
YDR232W,26.15002261
YOL056W,26.15281360
YGL241W,26.19351283
YPR160C-A,26.19842430
YPL214C,26.20850507
YLR060W,26.21335544
YIL001W,26.21595722
YBR070C,26.22817175
YHR204W,26.22839833
YMR289W,26.24465183
YDR468C,26.25190615
YDL040C,26.25602435
YLR072W,26.25793902
YKL096W,26.26570794
YKL051W,26.27228763
YMR079W,26.27826748
YER109C,26.28140200
YPR125W,26.28981605
YJL074C,26.29409419
YDR414C,26.30842178
YJL031C,26.30987215
YDR415C,26.33533162
YDL095W,26.34190417
YJR076C,26.34278631
YPL233W,26.35385640
YNL286W,26.35459945
YGL020C,26.35949466
YLR291C,26.36004590
YPL094C,26.36252102
YJR003C,26.36296132
YDR110W,26.36522802
YOR280C,26.38293635
YMR282C,26.39658474
YGL027C,26.39988780
YOL069W,26.41745784
YLL057C,26.41798494
YMR129W,26.42022205
YCL025C,26.42636748
YFL017W-A,26.45024667
YBR268W,26.45288286
YOR250C,26.46818812
YHR206W,26.47730621
YPL050C,26.48536616
YDR137W,26.49837428
YDL236W,26.49890403
YDR472W,26.50473165
YDR139C,26.50509843
YPL172C,26.50672774
YMR006C,26.50723947
YJL121C,26.51280319
YNL124W,26.53124510
YJL006C,26.54142543
YIR024C,26.55694420
YJL194W,26.56159402
YLR373C,26.56478340
YOR017W,26.56527986
YNL201C,26.57622282
YDL048C,26.57734520
YPL158C,26.57906379
YPL048W,26.58128639
YDR159W,26.58281745
YBR246W,26.58436842
YOR143C,26.58929992
YBR274W,26.59667824
YDR353W,26.60638053
YCL050C,26.61188359
YDL174C,26.61597705
YLR445W,26.62124704
YOR276W,26.64340788
YLL036C,26.65379902
YDR487C,26.65614455
YLR086W,26.65744296
YLR318W,26.66186170
YBR260C,26.66340033
YDR459C,26.68065138
YNR021W,26.68898974
YLR424W,26.68924167
YLR190W,26.69169193
YLR077W,26.69216197
YNL326C,26.69445019
YDL139C,26.69641996
YGL173C,26.69742827
YLR148W,26.69949299
YNL317W,26.70499781
YOR352W,26.72082800
YGR078C,26.72216816
YEL023C,26.72632209
YPR175W,26.72746532
YLR314C,26.73441893
YCR107W,26.74632098
YNL264C,26.75693652
YLR305C,26.76388642
YLR183C,26.77100754
YOR365C,26.79444881
YHR150W,26.80182965
YDR510W,26.81390040
YLR457C,26.81535302
YLR100W,26.82865310
YLR278C,26.83096673
YDR336W,26.86557501
YJR088C,26.86576760
YKR070W,26.86847802
YPL009C,26.89239532
YHR108W,26.90291390
YML011C,26.91130502
YKL018W,26.91985070
YJL090C,26.93025940
YHL038C,26.93120454
YLR271W,26.93427163
YPL029W,26.94497814
YLR361C,26.94914993
YDR225W,26.95001137
YDR172W,26.95132758
YNL250W,26.96596941
YPL015C,26.96718943
YLR188W,26.98798831
YGL067W,26.99020174
YER022W,27.00019217
YPL237W,27.01212653
YMR033W,27.02854272
YNL111C,27.03035794
YGR035C,27.03074562
YKL042W,27.03114778
YGR177C,27.03592288
YDL165W,27.05536759
YOR189W,27.05732687
YLR065C,27.05840300
YOR074C,27.06843142
YJR050W,27.07172460
YBL055C,27.07539423
YDR185C,27.07662443
YNL231C,27.08134577
YHR202W,27.08568617
YMR266W,27.09720989
YDR190C,27.10392860
YFL022C,27.10523031
YER089C,27.10566396
YGR261C,27.11373951
YEL029C,27.11441108
YOL029C,27.11545113
YLR293C,27.12269111
YBR009C,27.12568093
YJL061W,27.13309537
YBL003C,27.13895939
YPL111W,27.16543931
YDR160W,27.17094929
YHR188C,27.17362869
YIL039W,27.17666595
YLR245C,27.17874003
YKL137W,27.18158622
YCL014W,27.18638723
YBR283C,27.19877451
YLR099C,27.20505206
YML008C,27.21131792
YOR301W,27.21333882
YGR068C,27.21980313
YHR060W,27.23482769
YLR459W,27.23545635
YPR199C,27.23643037
YIR008C,27.24383876
YGL041W-A,27.25725089
YDL002C,27.25753009
YJL111W,27.27215221
YGR247W,27.27435611
YEL041W,27.27587512
YDL047W,27.27935981
YJL196C,27.28013934
YHR038W,27.28064528
YFL046W,27.28130714
YGL226C-A,27.28305492
YPL038W,27.29163610
YER075C,27.29716016
YIL054W,27.30097044
YLR441C,27.30236734
YMR106C,27.31113142
YDR092W,27.31201359
YDR179W-A,27.32911550
YOR288C,27.33693173
YDR439W,27.34071766
YDR213W,27.34926049
YDR056C,27.35197198
YBR168W,27.35770326
YDR267C,27.38171333
YDR062W,27.38223495
YGL213C,27.39585655
YAR008W,27.39664366
YGL238W,27.39942212
YLR439W,27.40530085
YLR312W-A,27.40803203
YHR152W,27.40829356
YOR039W,27.40871775
YER115C,27.42212015
YFL045C,27.42225225
YDR532C,27.42240407
YGL220W,27.42494145
YPL032C,27.43389236
YPL016W,27.43508231
YER168C,27.44948881
YNL020C,27.45270023
YBR171W,27.45505916
YJR106W,27.45906208
YMR148W,27.46135889
YLR078C,27.46311088
YJL024C,27.48648884
YPR070W,27.49218250
YJL014W,27.49255572
YGR027C,27.49260612
YGL159W,27.49694546
YBL021C,27.49782775
YDL105W,27.52146621
YJR112W-A,27.53442595
YDL078C,27.53959351
YAL022C,27.54173817
YPL210C,27.54815595
YPL243W,27.55171739
YGR020C,27.55328038
YHR063C,27.56410242
YOL063C,27.56997887
YIL089W,27.57653696
YLR032W,27.57946376
YBR288C,27.58137402
YMR277W,27.58517514
YHR023W,27.58869320
YDL220C,27.59317337
YOR284W,27.59487316
YBL052C,27.59972875
YDR292C,27.59978979
YLR266C,27.60643771
YIR006C,27.61052542
YNL197C,27.61261602
YDR375C,27.62016823
YMR091C,27.62444027
YOR061W,27.63423519
YGL174W,27.65611987
YOR058C,27.66612564
YNL153C,27.66960172
YOR133W,27.68060946
YDR331W,27.68820306
YGL145W,27.70013656
YOR115C,27.70194504
YCR002C,27.70397897
YDR051C,27.70602982
YMR235C,27.70635735
YNL193W,27.70731144
YML055W,27.71523553
YOL055C,27.72120589
YDR354W,27.72257091
YOL092W,27.72312474
YHR192W,27.72729508
YAR042W,27.73164187
YKL106W,27.75731072
YMR316W,27.76475906
YPL097W,27.76477447
YDR285W,27.76560131
YNL168C,27.77625771
YNL301C,27.78271870
YAL007C,27.79285632
YMR158W,27.79390477
YGR254W,27.79412530
YHL020C,27.79773735
YMR299C,27.81497954
YDR113C,27.82499012
YBL085W,27.82986534
YKR001C,27.83562833
YKL090W,27.86611568
YNR023W,27.86767281
YDL186W,27.86973351
YNL233W,27.87779039
YML072C,27.88017390
YDR237W,27.88592093
YDR167W,27.88646318
YKL206C,27.88920419
YGL225W,27.89164302
YCR014C,27.89515451
YNL185C,27.89967409
YOR295W,27.90481250
YJL118W,27.90687210
YOR177C,27.92124933
YLR354C,27.92271049
YDL207W,27.92423799
YLR130C,27.93405152
YGR082W,27.93946341
YBR175W,27.94052781
YNR043W,27.94201159
YNL014W,27.94626725
YDR227W,27.94945309
YGR278W,27.95820462
YKL185W,27.96243371
YHR098C,27.96726152
YDL226C,27.96808441
YDL059C,27.98834255
YNL009W,27.99282677
YHR019C,27.99999975
YGL068W,28.00253400
YML075C,28.01500947
YJR144W,28.02073009
YGR191W,28.02961102
YGL166W,28.03113847
YLR179C,28.03415105
YBR101C,28.03436003
YOR229W,28.03573015
YMR176W,28.04087745
YDR541C,28.04564950
YBL037W,28.04949583
YJR134C,28.05992482
YPR172W,28.06511573
YAL027W,28.06527491
YKR071C,28.06747585
YKL077W,28.06823066
YHR143W-A,28.08047146
YEL022W,28.08385920
YJR105W,28.08429764
YCL064C,28.08540345
YOR281C,28.08628352
YNR034W,28.09332269
YBR135W,28.09533112
YGR109C,28.10894834
YPL280W,28.11186185
YBR240C,28.11256994
YDL077C,28.11323860
YLR162W-A,28.11358094
YOR049C,28.11610560
YMR241W,28.12230660
YBL076C,28.12409699
YLR378C,28.13331617
YLR215C,28.13619103
YMR318C,28.13695695
YKR003W,28.14142178
YOR136W,28.14502657
YDR308C,28.15329352
YOR191W,28.15624765
YBR111W-A,28.15866773
YIR029W,28.16121833
YIL134W,28.17867131
YFR005C,28.18093080
YOR390W,28.18184784
YOL143C,28.19087596
YOL090W,28.19836054
YMR098C,28.20212206
YNL030W,28.20402330
YNL054W,28.20434661
YNL283C,28.20485439
YMR294W,28.21622565
YPL058C,28.21729512
YOR180C,28.22345107
YER183C,28.22433483
YMR089C,28.22922956
YBR217W,28.23527751
YDR072C,28.23635177
YLR195C,28.24126507
YGR239C,28.24132027
YMR039C,28.24538961
YLR016C,28.24787551
YPL258C,28.25298531
YDR174W,28.27256395
YJL091C,28.27859855
YLR427W,28.28092553
YKL127W,28.28263194
YPL117C,28.28827209
YGR030C,28.29198609
YMR153W,28.30125639
YOR172W,28.30711524
YNL211C,28.31045045
YGL185C,28.31123699
YLR423C,28.31357526
YKR082W,28.31773747
YJL076W,28.31882133
YMR267W,28.32267009
YML031W,28.34745238
YNL108C,28.35338265
YPR069C,28.35587721
YGL236C,28.35981380
YDR061W,28.36317675
YHR079C,28.36889687
YKL173W,28.36987162
YPL188W,28.37366981
YOR205C,28.37703300
YBR017C,28.37825930
YMR067C,28.38544960
YLR404W,28.38771416
YJR100C,28.38852853
YOR160W,28.38940299
YER019C-A,28.39262894
YGL163C,28.39344346
YPR161C,28.39453375
YDL103C,28.39763493
YDR288W,28.40012001
YHR025W,28.40268996
YGL100W,28.40633676
YCL031C,28.40860639
YLR045C,28.41168429
YPR016C,28.41906329
YLR383W,28.41946682
YLR381W,28.42063110
YDR368W,28.42116928
YMR208W,28.42166453
YJR083C,28.42816028
YBL091C,28.44217361
YNL113W,28.44413626
YDL237W,28.45551010
YOR204W,28.45639916
YER132C,28.48011723
YLR126C,28.48313466
YIL114C,28.49619527
YNL123W,28.49667786
YHR146W,28.49737404
YOL122C,28.50611315
YAL011W,28.51618213
YOR111W,28.53056267
YEL066W,28.54014360
YOR370C,28.55755907
YNL315C,28.56608468
YFR041C,28.56851164
YDL200C,28.58043674
YPR162C,28.58313930
YER019W,28.58930849
YFR027W,28.59691503
YOL064C,28.59758787
YDR075W,28.60046657
YNL058C,28.60965112
YAL013W,28.61048765
YDL017W,28.61145639
YER056C,28.62049757
YLR238W,28.62951661
YPR135W,28.62961497
YPR133W-A,28.63458264
YKL079W,28.64167471
YDR055W,28.64740735
YHR156C,28.65000534
YFR013W,28.65153303
YIL142W,28.65900168
YGL253W,28.66580034
YOR233W,28.66594680
YFR023W,28.68555297
YGL075C,28.69596911
YGR156W,28.70464093
YOL146W,28.72108290
YER166W,28.72386155
YFR016C,28.72484593
YLR027C,28.73210808
YCL004W,28.73609512
YDL056W,28.74620678
YJL096W,28.75232578
YPR156C,28.75390254
YOR112W,28.77004237
YNL199C,28.78222071
YOL033W,28.78522710
YDR224C,28.79068114
YIL065C,28.80170341
YOR209C,28.81909542
YNL298W,28.83504917
YER172C,28.84121919
YMR227C,28.84746197
YKR022C,28.84980019
YKL208W,28.85566618
YGL226W,28.85567201
YDR318W,28.85899704
YCR035C,28.86046863
YMR023C,28.87106417
YLR376C,28.87243099
YOL159C,28.87997040
YCR066W,28.88444052
YDR434W,28.89597212
YNL253W,28.90334635
YNR031C,28.90600779
YEL043W,28.90732307
YER063W,28.91684493
YJL181W,28.92463161
YPL066W,28.92619062
YOR334W,28.92872496
YDR084C,28.95008696
YCR052W,28.95936050
YKL054C,28.96353155
YIL070C,28.97687552
YGR071C,28.97934744
YIL130W,29.00859334
YLR337C,29.01811286
YLR321C,29.02096242
YER112W,29.02619337
YLR144C,29.02918505
YGL150C,29.04480863
YGR116W,29.04994145
YGR240C,29.05325860
YER164W,29.07492374
YMR066W,29.08427480
YHR029C,29.08454890
YBR161W,29.08610641
YCR019W,29.09150915
YJR135W-A,29.09523434
YIR027C,29.09534229
YHL025W,29.09949138
YGL019W,29.10441919
YML077W,29.10953791
YBR089C-A,29.12145599
YBL059C-A,29.12958099
YER061C,29.12962153
YDR393W,29.14075777
YBR153W,29.15583092
YBR239C,29.15699921
YFR037C,29.16585490
YNL241C,29.16936618
YER113C,29.17827036
YOL059W,29.18097964
YPL235W,29.19698016
YJR013W,29.20354102
YKL068W,29.20692344
YPL040C,29.21327359
YDL074C,29.22194027
YML126C,29.22220679
YJR064W,29.22755077
YLR104W,29.23426164
YIR042C,29.23618289
YGR165W,29.24063714
YHL006C,29.24630809
YMR231W,29.24928644
YPL140C,29.25014685
YJR010W,29.25761520
YDR268W,29.26515422
YFL034C-A,29.26757636
YMR144W,29.26782413
YGL040C,29.26844140
YOL019W,29.26965361
YKR031C,29.28573876
YNL261W,29.29055974
YMR187C,29.29483882
YDR245W,29.29771412
YPR138C,29.29842122
YGR057C,29.29897038
YLR131C,29.29902276
YKL138C-A,29.31117601
YGL064C,29.32720626
YNR022C,29.33395981
YGR054W,29.33895977
YKL053C-A,29.33925147
YGL062W,29.33988710
YDL117W,29.34068216
YIR022W,29.34076940
YOL145C,29.34821614
YNL085W,29.34919305
YPR171W,29.36748020
YBR202W,29.38188848
YJL041W,29.38796123
YOR110W,29.39283885
YNL155W,29.39501671
YOR087W,29.39637671
YIL074C,29.39827173
YDR189W,29.39955379
YHL023C,29.40084590
YDL080C,29.40304040
YMR086W,29.40725593
YDR016C,29.41578733
YGL187C,29.41649473
YML085C,29.41998690
YBR275C,29.42107720
YJR092W,29.44646344
YAL042W,29.45562177
YKL059C,29.45929295
YHR121W,29.45998110
YGL245W,29.46070070
YOR045W,29.46073832
YNL225C,29.46488784
YDL092W,29.47114991
YHR215W,29.47176065
YLR057W,29.47872264
YEL018W,29.48095442
YGR277C,29.48260688
YOL089C,29.48296508
YEL056W,29.48364037
YLR033W,29.49057339
YCR061W,29.50419608
YML071C,29.50706756
YDR058C,29.51093626
YLR209C,29.52358375
YGL028C,29.52577437
YKL196C,29.52582941
YPL269W,29.54138633
YAR023C,29.55026565
YPL144W,29.55028976
YDR053W,29.55030234
YGR246C,29.55042237
YMR273C,29.55529507
YBR172C,29.55779838
YML053C,29.60438588
YPR127W,29.60570620
YDR071C,29.61970686
YNR020C,29.61995919
YER001W,29.62551862
YBR167C,29.62819001
YGL129C,29.63016294
YMR276W,29.63095127
YKL108W,29.63981265
YHR143W,29.64573801
YPL194W,29.64828002
YML052W,29.65130136
YGR208W,29.65245088
YBR250W,29.68103388
YDR489W,29.68699893
YLR182W,29.70744683
YKL119C,29.71162796
YBL057C,29.71908204
YGR121C,29.71930822
YFR011C,29.72287654
YMR207C,29.72599887
YBL095W,29.72763131
YPL007C,29.73035190
YLR147C,29.73070522
YLR363C,29.73350202
YGR119C,29.73481998
YKL203C,29.73628175
YHR050W,29.75323731
YMR225C,29.75347485
YDR108W,29.75577108
YOR232W,29.76970086
YNL032W,29.78222923
YPR173C,29.78622397
YIL067C,29.79571750
YER055C,29.80100221
YGL013C,29.80138330
YFL004W,29.81466478
YLR026C,29.81692580
YMR166C,29.81868363
YPR033C,29.82423580
YCR028C,29.83369284
YOR260W,29.84119948
YKL050C,29.84228376
YMR307W,29.84458817
YPR063C,29.85086972
YLR069C,29.85362118
YDL019C,29.85423012
YJR084W,29.85426625
YKR086W,29.85703992
YOR278W,29.86107008
YGR086C,29.86164862
YNR050C,29.86812121
YMR035W,29.86985959
YOR279C,29.87937224
YER047C,29.88153039
YBR038W,29.88482224
YNL217W,29.88542866
YGL084C,29.91138897
YKL086W,29.91358270
YML068W,29.91527974
YIL076W,29.91823119
YGR185C,29.92010113
YDL203C,29.92183329
YHR158C,29.92466933
YJL154C,29.92682207
YMR164C,29.94309078
YLR390W,29.95073888
YAL018C,29.95259664
YKL017C,29.96860569
YLR429W,29.97007185
YPL113C,29.97045352
YOR181W,29.97403220
YMR113W,29.99070931
YIL149C,29.99340015
YJL062W,30.00174301
YGL054C,30.00182687
YBR137W,30.00583318
YER161C,30.00735236
YML116W,30.01077849
YPL171C,30.01130766
YHR133C,30.01512730
YDL044C,30.02277844
YPL051W,30.02518141
YJR054W,30.03072371
YER087C-B,30.03128835
YHL014C,30.04394813
YHL007C,30.05309331
YJL008C,30.05405587
YOL139C,30.05735957
YGR220C,30.06252356
YAL061W,30.08544559
YJL147C,30.08915974
YKR002W,30.08983567
YDR347W,30.09530482
YAL029C,30.09692511
YJR133W,30.09984897
YDR303C,30.10413492
YLR297W,30.10891016
YBR163W,30.11039577
YKL170W,30.11267529
YBR074W,30.11333332
YDL240W,30.11760009
YJL203W,30.12121072
YOR326W,30.12156135
YBR166C,30.12497309
YLR386W,30.12501054
YFR031C,30.13134957
YLR304C,30.13607915
YPL184C,30.13622593
YHR024C,30.14230867
YOL057W,30.16401868
YER107C,30.16747267
YAL009W,30.17616261
YOR304W,30.18005485
YPR117W,30.18137439
YDR235W,30.19453646
YLR274W,30.20178131
YGR216C,30.20521711
YER076C,30.20816726
YER058W,30.21076570
YER140W,30.21962422
YJL197W,30.22079785
YAR031W,30.22204841
YGL186C,30.22606522
YDR334W,30.22628109
YGL016W,30.22918528
YPL008W,30.23528806
YNL278W,30.24209083
YKR052C,30.25288632
YOR178C,30.25459848
YDR022C,30.25659963
YPL085W,30.25905456
YFR051C,30.26571557
YJR001W,30.27126472
YGL116W,30.27318229
YJL146W,30.28105569
YBL059W,30.28589826
YNL040W,30.29075103
YER180C,30.29301616
YLR114C,30.29371140
YPL023C,30.30423363
YER074W-A,30.30832916
YER028C,30.31105715
YGL137W,30.31234779
YDL131W,30.31591329
YHR214C-D,30.31738501
YLR253W,30.31739617
YIR032C,30.32292233
YHL034C,30.32998173
YKR085C,30.33864314
YPL077C,30.34151866
YPL049C,30.34310803
YFR024C-A,30.34334805
YKL160W,30.35429152
YDL008W,30.35442968
YDL099W,30.37155043
YPR134W,30.37203147
YKL057C,30.39470451
YGR181W,30.41022185
YIL118W,30.41523018
YBL023C,30.42354335
YGL127C,30.43985970
YNL220W,30.46850754
YOR149C,30.47541096
YCR093W,30.48306698
YLR440C,30.48340682
YPL071C,30.49297223
YHR181W,30.49800573
YER059W,30.50365880
YPR034W,30.51086727
YAR002C-A,30.51178090
YFL010C,30.51914948
YOL042W,30.52067362
YIL112W,30.52355180
YDR002W,30.52368840
YOL078W,30.53347411
YGR179C,30.54520863
YDR251W,30.54650400
YGL039W,30.55776937
YNR072W,30.56078011
YFR048W,30.57067554
YOR201C,30.58131248
YGL048C,30.58134448
YLR191W,30.58174863
YDR035W,30.58296335
YER068W,30.59131618
YHR059W,30.59400228
YGL133W,30.59554594
YDR026C,30.61105526
YPL163C,30.62159693
YNL310C,30.62327287
YOL023W,30.62475856
YDR104C,30.62809652
YGL208W,30.63891119
YCL024W,30.65173730
YHR080C,30.65265829
YDL177C,30.66084815
YCR071C,30.67176787
YOR296W,30.67816685
YGR101W,30.67849516
YDR498C,30.68395345
YDL116W,30.68425362
YPL105C,30.69551225
YJL172W,30.70588733
YML050W,30.71846786
YML086C,30.71979127
YIL162W,30.72200026
YPL115C,30.73514243
YMR193W,30.73628954
YMR202W,30.73970187
YDR386W,30.75611366
YDL052C,30.77318203
YBL097W,30.77380066
YMR203W,30.77408167
YAR002W,30.78610990
YDR480W,30.78782896
YKL139W,30.79410481
YNL236W,30.79504725
YLR319C,30.79806114
YHR011W,30.81768982
YPL099C,30.83082357
YNR065C,30.84284719
YHR187W,30.84634860
YLR301W,30.84884104
YDR369C,30.85448556
YGR206W,30.85997770
YDR052C,30.87193867
YGR203W,30.88677406
YBL079W,30.89314288
YGL195W,30.89437967
YER105C,30.90367175
YDR469W,30.90665321
YPR094W,30.90736449
YGR252W,30.90908208
YFL037W,30.92182425
YNL053W,30.92486485
YKR095W,30.92917226
YHR005C-A,30.93726772
YCR076C,30.93994796
YBR177C,30.94190265
YNL004W,30.94471727
YAL058W,30.95705542
YBR058C-A,30.95809272
YDR339C,30.96963026
YPR051W,30.97644766
YAL037W,30.98092501
YFR029W,30.99226572
YNL003C,31.01239553
YPR189W,31.01522137
YDL211C,31.01605547
YPR166C,31.01890949
YML124C,31.01957080
YDR211W,31.02428691
YDR493W,31.03227242
YPL151C,31.03300456
YGR153W,31.03361628
YOR336W,31.04322028
YNL042W,31.04851694
YER147C,31.05576085
YER111C,31.05804255
YKL140W,31.05874649
YGL071W,31.07219602
YOR283W,31.07544334
YGL086W,31.07589673
YJL209W,31.07877409
YJL124C,31.08193143
YOR043W,31.08394757
YOL107W,31.08572903
YKL008C,31.09150587
YMR109W,31.10333064
YGR258C,31.10893337
YGR196C,31.10952444
YOL157C,31.11456289
YLR289W,31.11520257
YDL182W,31.11785148
YBR162C,31.13682663
YIL027C,31.14098069
YBL080C,31.14653606
YPR035W,31.14764578
YML111W,31.14810805
YDR539W,31.15067077
YCR084C,31.15559972
YPR067W,31.15780930
