ENSG,Degradation_rates
YGR042W,0.00247005
YIL005W,0.00246928
YPR141C,0.00246699
YOL030W,0.00246646
YNL133C,0.00246592
YKL176C,0.00246581
YBR146W,0.00246443
YBR069C,0.00246320
YBL018C,0.00246260
YDR453C,0.00246171
YBR244W,0.00245887
YHR086W,0.00244597
YDR182W,0.00244229
YOR120W,0.00243915
YDR229W,0.00243799
YOR097C,0.00243317
YER148W,0.00242905
YGR250C,0.00242824
YGR058W,0.00242306
YHR135C,0.00241771
YGL066W,0.00240721
YKR006C,0.00240709
YOR304C-A,0.00240602
YHR084W,0.00240052
YGR251W,0.00239858
YCR054C,0.00239825
YNL291C,0.00239818
YPR166C,0.00239798
YBR267W,0.00239522
YDR415C,0.00238882
YAL032C,0.00238857
YER161C,0.00238852
YHR100C,0.00238794
YMR009W,0.00238740
YHR164C,0.00238279
YPR051W,0.00238165
YKR076W,0.00237968
YJR129C,0.00237833
YPL186C,0.00237791
YJL099W,0.00237775
YNL094W,0.00237602
YMR173W,0.00237527
YEL042W,0.00237353
YCR008W,0.00237209
YBR197C,0.00236992
YDL053C,0.00236931
YGL244W,0.00236387
YJL186W,0.00236231
YMR048W,0.00236124
YGR130C,0.00235674
YNL201C,0.00235418
YNL188W,0.00235396
YKL098W,0.00234700
YKL075C,0.00234352
YHR122W,0.00234077
YDL120W,0.00233990
YOR367W,0.00233859
YBR133C,0.00233548
YAL014C,0.00233293
YDR169C,0.00233089
YOR171C,0.00233084
YJL141C,0.00232952
YHR206W,0.00232931
YPL008W,0.00232848
YLR299W,0.00232807
YDR505C,0.00232795
YOR252W,0.00232707
YDR045C,0.00232599
YER138C,0.00232563
YKL005C,0.00232409
YOR098C,0.00232083
YMR112C,0.00232068
YCR042C,0.00231930
YFR049W,0.00231053
YLL013C,0.00230871
YOL060C,0.00230730
YGR138C,0.00230529
YDR325W,0.00230482
YKL087C,0.00230057
YDR519W,0.00229965
YGL216W,0.00229808
YHR147C,0.00229122
YFL050C;YOL130W,0.00229098
YOR195W,0.00229095
YKR020W,0.00229063
YHR205W,0.00229034
YHR118C,0.00228726
YKR085C,0.00228574
YLR034C,0.00228481
YNL309W,0.00228474
YBR028C,0.00228271
YDR016C,0.00228066
YPL190C,0.00227740
YBR280C,0.00227651
YER145C,0.00227554
YDR150W,0.00227411
YML013W,0.00227134
YMR171C,0.00226273
YOR116C,0.00226057
YGL139W,0.00225984
YOR215C,0.00225434
YER128W,0.00225343
YMR307W,0.00225214
YGL237C,0.00224983
YLR295C,0.00224850
YML011C,0.00224145
YPR158C-D,0.00223836
YDR381C-A,0.00223777
YGL075C,0.00223604
YEL052W,0.00223555
YLR211C,0.00223292
YJL057C,0.00223063
YKL051W,0.00222808
YLR271W,0.00222039
YDL043C,0.00221768
YBR220C,0.00221380
YHR051W,0.00221302
YOR089C,0.00221291
YNR053C,0.00221068
YDL102W,0.00220981
YML025C,0.00220299
YKL043W;YMR016C,0.00220236
YER013W,0.00219962
YFR011C,0.00219788
YPR140W,0.00219751
YGL187C,0.00219431
YOR145C,0.00219256
YIR015W,0.00219079
YDR308C,0.00218848
YHR120W,0.00218781
YOR287C,0.00218746
YEL024W,0.00218744
YAL047C,0.00218698
YPL168W,0.00218669
YPR045C,0.00218492
YDR111C,0.00218366
YNL192W,0.00217187
YJR043C,0.00217179
YNL328C,0.00217131
YPL133C,0.00217080
YNL217W,0.00216626
YBL078C,0.00215811
YEL007W,0.00215726
YBR262C,0.00215383
YDR175C,0.00215296
YNL255C,0.00215221
YBR268W,0.00215179
YPL118W,0.00214634
YOR008C,0.00214500
YLL011W,0.00214490
YLR107W,0.00214016
YDR452W,0.00214016
YKR019C,0.00213864
YLR163C,0.00213794
YMR010W,0.00213765
YNL110C,0.00213671
YJR135W-A,0.00213129
YBL061C,0.00213055
YMR246W,0.00212759
YGR076C,0.00212703
YGL080W,0.00212576
YCR071C,0.00212566
YFL042C,0.00212522
YJL168C,0.00212478
YNL164C,0.00212459
YFR039C,0.00212439
YMR244C-A,0.00212163
YML107C,0.00212025
YOR390W;YPL279C,0.00211754
YJL092W,0.00211538
YJL122W,0.00211489
YJL218W,0.00211474
YDL017W,0.00211284
YGL008C;YPL036W,0.00211242
YDR422C,0.00210819
YDR389W,0.00210777
YAR018C,0.00210686
YOL071W,0.00210559
YLR187W,0.00210375
YNL180C,0.00210344
YOL151W,0.00210054
YER180C-A,0.00209578
YAR014C,0.00209520
YMR031C,0.00209170
YOR238W,0.00209161
YNL311C,0.00209151
YFL033C,0.00208962
YML111W,0.00208896
YDL133W,0.00208211
YNL233W,0.00208105
YMR159C,0.00208092
YGL129C,0.00208088
YDR080W,0.00207717
YIL143C,0.00207645
YDR022C,0.00207625
YIL105C,0.00207513
YMR263W,0.00207414
YPL093W,0.00207347
YPL191C,0.00207298
YLR336C,0.00207279
YJR075W,0.00207171
YLR050C,0.00206985
YGL004C,0.00206976
YLR068W,0.00206756
YKR062W,0.00206713
YJL205C,0.00206657
YDL005C,0.00206568
YGL002W,0.00206484
YOR093C,0.00206414
YKL138C,0.00206311
YDR511W,0.00206155
YDL106C,0.00206018
YDL091C,0.00205985
YOR327C,0.00205899
YPR010C,0.00205844
YNR024W,0.00205686
YNL173C,0.00205540
YDR375C,0.00205131
YER059W,0.00205064
YOR220W,0.00205043
YLR323C,0.00204944
YBL085W,0.00204712
YBR233W,0.00204621
YDR411C,0.00204430
YJL063C,0.00204427
YDL107W,0.00204355
YML037C,0.00204171
YFL041W,0.00203984
YDR532C,0.00203776
YER040W,0.00203563
YFR043C,0.00203463
YKL099C,0.00203457
YBR103W,0.00203298
YJL006C,0.00203271
YPR018W,0.00203261
YKR090W,0.00203253
YER114C,0.00202715
YOL063C,0.00202170
YFL034C-B,0.00202031
YIL014W,0.00202029
YDL202W,0.00202002
YNL224C,0.00201964
YER111C,0.00201561
YOL080C,0.00201072
YPL096W,0.00200827
YJL210W,0.00200553
YDL025C,0.00200529
YAL025C,0.00200439
YOL096C,0.00200344
YPR094W,0.00200246
YER139C,0.00200027
YNL298W,0.00200000
YDR221W,0.00199809
YLR383W,0.00199684
YJR091C,0.00199643
YDR147W,0.00199610
YJR034W,0.00199598
YPL004C,0.00199493
YPL011C,0.00199472
YGR092W,0.00199313
YNR038W,0.00198871
YGR041W,0.00198575
YPR116W,0.00198380
YNL124W,0.00198367
YIL085C,0.00198202
YHR133C,0.00198139
YDR178W,0.00198127
YLL033W,0.00197954
YFL007W,0.00197782
YMR236W,0.00197552
YDR017C,0.00197494
YMR219W,0.00197325
YAL033W,0.00197276
YGL093W,0.00197239
YPR187W,0.00197074
YGR129W,0.00197057
YKR099W,0.00197028
YIL036W,0.00196738
YEL032W,0.00196444
YML076C,0.00196313
YGL098W,0.00196157
YLR257W,0.00196098
YDR524C,0.00196095
YDR243C,0.00195986
YNL005C,0.00195896
YGR089W,0.00195421
YKR049C,0.00195394
YMR188C,0.00195199
YGR026W,0.00195178
YLR423C,0.00194858
YBR142W,0.00194637
YDR041W,0.00194449
YBR274W,0.00193802
YKR029C,0.00193496
YAL010C,0.00193111
YDR436W,0.00192986
YML055W,0.00192971
YGR184C,0.00192894
YPL043W,0.00192607
YIL093C,0.00192580
YGR276C,0.00192575
YGL006W,0.00192475
YPL078C,0.00192406
YER019C-A,0.00192391
YDR166C,0.00192292
YPL137C,0.00192242
YIL161W,0.00192176
YMR193W,0.00192056
YML081W,0.00192035
YJL047C,0.00191960
YBR097W,0.00191783
YLR422W,0.00191232
YPR037C,0.00191222
YJR122W,0.00190915
YHR132W-A,0.00190728
YJL139C,0.00190295
YER087W,0.00190039
YJR113C,0.00189929
YGR165W,0.00189882
YLR139C,0.00189771
YPL103C,0.00189752
YLR009W,0.00189744
YCR094W,0.00189656
YKL105C,0.00189566
YDL140C,0.00189492
YIL147C,0.00189442
YPL006W,0.00189418
YDR180W,0.00189405
YKL055C,0.00189385
YGR241C,0.00189378
YER002W,0.00189343
YOR356W,0.00189241
YMR234W,0.00189214
YLR072W,0.00188968
YIL064W,0.00188837
YOR129C,0.00188814
